attempt	red_fraction	store_details_call	deeplink_pushed	verdict
1	0.993	0	1	RED_SCREEN
2	0.993	0	1	RED_SCREEN
3	0.993	0	1	RED_SCREEN
4	0.993	0	1	RED_SCREEN
5	0.993	0	1	RED_SCREEN
6	0.993	0	1	RED_SCREEN
7	0.993	0	1	RED_SCREEN
8	0.993	0	1	RED_SCREEN
9	0.993	0	1	RED_SCREEN
10	0.993	0	1	RED_SCREEN
11	0.993	0	1	RED_SCREEN
12	0.993	0	1	RED_SCREEN
13	0.993	0	1	RED_SCREEN
14	0.993	0	1	RED_SCREEN
15	0.993	0	1	RED_SCREEN
16	0.013	4	1	CLEAN_REACHED
17	0.993	0	1	RED_SCREEN
18	0.993	0	1	RED_SCREEN
19	0.993	0	1	RED_SCREEN
20	0.993	0	1	RED_SCREEN
21	0.993	0	1	RED_SCREEN
22	0.993	0	1	RED_SCREEN
23	0.993	0	1	RED_SCREEN
24	0.993	0	1	RED_SCREEN
25	0.993	0	1	RED_SCREEN
26	0.993	0	1	RED_SCREEN
27	0.993	0	1	RED_SCREEN
28	0.993	0	1	RED_SCREEN
29	0.993	0	1	RED_SCREEN
30	0.993	0	1	RED_SCREEN
